[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=0 | c_delayed=0 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=9.98092 | c_delayed=-4.25636 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=0.00615916 | c_delayed=8.59827 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=0 | c_delayed=0 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=0.81688 | c_delayed=0 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=0 | c_delayed=0 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=3.65554e-32 | c_delayed=7.57136e-28 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=9.49415 | c_delayed=-5.85856 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0.00585878 | c_delayed=8.17892 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=-0.271803 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=3.47726e-32 | c_delayed=7.2021e-28 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0 | c_delayed=0 | n=0.0556163
