[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2404 | tau_c_delay_=200 | t_past=2204 | c_current=0 | c_delayed=0 | n=0.536744
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2404 | tau_c_delay_=200 | t_past=2204 | c_current=0.00685447 | c_delayed=9.40046 | n=0.536744
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2404 | tau_c_delay_=200 | t_past=2204 | c_current=5.52388e-07 | c_delayed=0.473952 | n=0.536744
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2404 | tau_c_delay_=200 | t_past=2204 | c_current=-1.98129 | c_delayed=0 | n=0.536744
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2404 | tau_c_delay_=200 | t_past=2204 | c_current=6.68312 | c_delayed=0 | n=0.536744
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2404 | tau_c_delay_=200 | t_past=2204 | c_current=0 | c_delayed=0 | n=0.536744
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2405 | tau_c_delay_=200 | t_past=2205 | c_current=0 | c_delayed=0 | n=0.57706
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2405 | tau_c_delay_=200 | t_past=2205 | c_current=0 | c_delayed=0 | n=0.57706
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2405 | tau_c_delay_=200 | t_past=2205 | c_current=1.99548e-36 | c_delayed=6.01964e-30 | n=0.57706
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2405 | tau_c_delay_=200 | t_past=2205 | c_current=0 | c_delayed=0 | n=0.57706
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2405 | tau_c_delay_=200 | t_past=2205 | c_current=0.00652018 | c_delayed=7.87142 | n=0.57706
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2405 | tau_c_delay_=200 | t_past=2205 | c_current=5.25448e-07 | c_delayed=0.450837 | n=0.57706
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2405 | tau_c_delay_=200 | t_past=2205 | c_current=-2.82699 | c_delayed=0 | n=0.57706
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2405 | tau_c_delay_=200 | t_past=2205 | c_current=6.35718 | c_delayed=0 | n=0.57706
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2405 | tau_c_delay_=200 | t_past=2205 | c_current=0 | c_delayed=0 | n=0.57706
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2406 | tau_c_delay_=200 | t_past=2206 | c_current=0 | c_delayed=0 | n=0.522145
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2406 | tau_c_delay_=200 | t_past=2206 | c_current=0 | c_delayed=0 | n=0.522145
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2406 | tau_c_delay_=200 | t_past=2206 | c_current=1.89816e-36 | c_delayed=5.72606e-30 | n=0.522145
