[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=0 | c_delayed=0 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=9.80147 | c_delayed=0 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=0.00575738 | c_delayed=-4.38121 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=0 | c_delayed=0 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=-1.28584 | c_delayed=0 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2204 | tau_c_delay_=200 | t_past=2004 | c_current=0 | c_delayed=0 | n=0.0679299
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=4.15296e-32 | c_delayed=1.19121e-25 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=9.32344 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0.00547659 | c_delayed=-5.76792 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=-2.17898 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2205 | tau_c_delay_=200 | t_past=2005 | c_current=0 | c_delayed=0 | n=0.0614655
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=3.95041e-32 | c_delayed=1.14065e-25 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=8.86873 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0.00520949 | c_delayed=8.5944 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=-2.98194 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=3.75775e-32 | c_delayed=1.08502e-25 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=8.4362 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0.00495542 | c_delayed=5.98497 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0 | c_delayed=0 | n=0.0503237
